First_pokemonID,Second_pokemonID,Winner
151,87,151
141,152,141
54,115,115
54,119,119
54,32,32
16,110,110
42,113,42
129,106,129
14,103,103
63,82,63
4,150,4
132,69,69
17,164,164
51,57,51
115,56,56
165,49,165
107,48,48
14,62,62
152,159,159
120,67,67
103,142,103
73,113,113
159,77,159
142,107,142
127,81,127
101,21,21
10,17,17
4,13,4
37,13,13
107,32,32
28,44,44
87,59,59
162,114,162
59,118,59
6,47,6
125,31,125
50,134,134
143,116,116
14,162,162
145,148,148
81,70,81
157,141,157
102,54,102
163,132,163
164,141,164
137,153,137
157,25,157
5,117,5
16,55,55
52,6,6
157,79,157
148,106,106
10,158,158
164,157,164
64,153,153
82,96,82
124,105,124
24,57,24
10,88,10
44,15,44
16,39,16
149,48,48
56,138,138
43,30,30
23,2,23
62,154,154
84,77,84
29,113,29
151,126,126
106,31,31
152,162,162
55,91,55
58,134,134
143,42,42
71,16,71
113,18,18
31,6,31
108,99,108
161,34,161
30,133,133
56,116,56
41,75,75
1,153,153
93,41,93
13,153,153
31,151,31
165,139,165
132,76,76
45,149,149
53,97,97
106,153,153
142,79,142
25,5,25
104,118,104
113,166,166
79,103,103
136,23,23
153,30,30
74,59,59
147,158,147
23,25,23
96,57,57
97,80,80
96,147,147
99,32,32
60,18,60
58,165,165
140,27,140
75,104,75
91,117,91
26,93,93
62,127,127
89,110,110
20,50,20
162,23,23
149,133,133
41,80,80
156,13,13
47,81,47
150,28,28
11,80,80
107,155,155
73,141,141
37,100,100
94,138,138
54,150,54
109,158,158
16,56,56
67,44,44
137,85,85
142,83,142
36,83,36
137,15,137
91,57,57
2,101,101
26,19,26
41,17,17
54,72,72
159,4,159
129,162,162
26,36,26
83,163,163
69,113,113
35,101,101
82,149,149
115,145,115
13,166,166
103,149,149
104,130,130
50,139,139
89,102,89
59,22,59
84,44,44
54,153,153
48,108,48
114,75,75
31,14,31
5,69,69
92,151,92
28,148,28
116,133,133
147,28,147
79,77,79
45,83,83
41,11,11
154,13,154
103,163,163
24,93,24
142,45,142
99,139,139
111,112,112
58,75,75
64,14,64
36,83,36
79,4,4
36,95,95
14,92,92
9,124,9
68,27,27
79,58,58
94,141,141
49,147,147
135,130,135
129,50,129
9,148,9
93,15,93
72,126,72
28,157,28
120,116,116
40,93,93
72,105,72
143,153,153
129,20,20
166,27,166
15,21,21
59,138,59
143,89,143
97,3,3
100,157,157
135,73,135
156,54,54
73,20,20
81,83,83
104,79,79
42,106,106
100,150,100
7,91,7
2,38,2
166,26,166
72,154,72
44,89,44
15,28,28
109,54,109
69,125,125
75,7,7
156,132,156
23,112,23
35,56,56
34,126,34
149,38,38
140,162,162
70,82,82
25,59,59
96,160,160
166,146,166
129,151,129
62,135,135
71,44,71
88,160,160
38,40,40
29,68,68
129,109,109
60,118,60
22,63,63
155,138,155
106,1,106
164,9,164
159,135,135
40,121,40
160,130,130
59,162,59
72,164,72
162,104,162
153,19,153
51,104,104
95,42,95
89,6,6
43,97,43
48,97,48
30,64,30
27,77,27
150,91,91
37,80,80
157,58,58
82,35,35
67,95,67
20,118,20
16,92,92
101,129,101
19,16,19
115,148,115
164,111,164
106,2,106
20,114,20
158,165,165
38,98,38
152,87,152
13,48,48
108,155,155
130,154,154
47,95,95
39,57,57
39,116,116
133,138,138
140,117,117
134,38,134
4,58,58
139,74,139
131,15,131
68,54,68
41,83,83
83,74,74
94,23,23
22,14,22
79,83,83
124,17,124
49,137,137
21,95,95
72,26,72
153,36,153
124,136,136
65,109,109
81,6,81
71,9,71
123,49,123
124,154,154
101,157,101
1,54,54
41,91,91
79,129,79
35,61,61
7,56,7
119,125,125
42,160,42
6,15,6
50,64,64
127,81,127
23,31,23
75,141,141
130,65,65
164,80,164
75,20,20
91,124,124
75,123,123
82,143,143
165,137,165
22,52,22
62,94,62
59,142,59
18,148,148
25,39,25
14,84,84
120,158,120
150,47,47
96,15,15
60,145,145
97,34,34
62,48,48
6,25,6
21,74,21
133,129,133
70,49,70
89,136,136
23,41,23
148,104,104
155,8,155
121,135,121
140,148,148
83,132,83
34,8,8
15,123,123
5,84,84
20,47,20
107,99,99
84,11,84
16,107,16
103,159,103
38,62,62
93,86,93
8,154,154
130,69,69
70,160,70
89,14,14
23,79,23
74,113,74
134,92,134
143,24,24
40,41,40
135,24,24
166,108,166
28,59,59
119,84,84
146,134,134
64,8,8
83,95,95
158,92,158
107,111,107
104,126,104
97,112,112
77,49,77
97,52,97
119,151,119
44,5,44
138,101,138
101,85,85
133,38,133
111,151,151
16,73,16
56,50,50
92,15,92
43,93,93
151,101,101
25,79,25
11,156,11
41,88,41
53,45,53
1,115,115
130,139,139
128,100,100
27,109,109
13,146,13
71,126,71
45,15,15
52,74,74
83,25,83
83,141,141
71,63,71
124,147,147
80,38,80
122,62,62
107,150,107
4,73,4
112,48,48
50,136,136
130,9,9
160,86,160
110,41,110
87,55,55
52,20,20
123,52,123
88,85,85
9,123,9
128,34,34
20,55,20
16,34,16
135,126,135
68,114,68
119,41,119
158,115,158
49,101,101
54,8,8
79,134,134
57,65,57
50,101,101
109,159,109
152,82,152
80,136,80
147,22,147
160,100,100
163,104,163
43,82,82
48,151,48
53,126,53
28,157,28
55,103,103
158,160,158
47,64,64
143,92,92
48,42,48
148,107,148
72,122,72
112,47,47
165,117,165
15,54,54
69,96,96
128,14,128
30,42,30
88,133,133
52,62,62
100,19,100
6,97,6
17,3,3
89,61,61
55,37,55
84,37,84
73,82,82
60,11,11
36,58,58
150,49,150
24,17,24
163,95,163
11,64,64
96,31,96
36,116,116
14,40,40
36,47,36
136,42,136
63,138,138
67,113,67
30,20,20
71,57,57
21,62,62
162,42,42
156,26,156
87,44,87
113,135,113
14,29,29
56,30,56
6,129,6
133,61,133
23,109,23
36,57,57
30,103,103
160,152,152
130,44,44
21,119,119
52,106,106
159,81,159
134,133,133
40,57,57
58,9,9
18,2,2
68,13,13
103,113,103
157,135,135
48,10,48
160,126,126
60,107,60
62,67,67
48,28,28
135,123,135
103,32,103
110,109,110
63,120,63
116,161,116
75,151,151
108,95,108
17,116,116
20,145,20
149,116,116
6,150,6
105,11,11
4,154,154
88,108,108
122,63,63
128,123,128
28,3,28
71,143,71
41,22,22
100,84,84
55,73,55
71,9,71
27,88,27
73,7,7
85,22,85
36,102,102
110,157,110
73,157,157
31,59,59
26,29,26
40,161,40
82,95,95
74,11,11
163,24,163
73,42,42
20,43,20
126,139,139
134,89,134
141,95,141
74,108,108
9,37,9
143,44,44
32,15,32
25,114,25
119,123,123
3,4,4
17,123,123
134,99,134
125,39,125
8,123,8
97,8,8
35,153,153
123,54,123
150,18,18
36,3,3
71,97,71
97,57,57
23,97,23
82,101,82
73,11,11
14,60,60
68,41,68
57,150,57
145,138,138
59,100,100
131,118,131
164,129,164
119,5,5
129,3,3
51,99,99
101,48,101
58,127,58
136,140,136
8,140,8
166,30,166
113,55,55
94,132,132
108,54,108
158,49,158
48,162,48
119,128,128
99,131,131
88,156,156
17,65,65
6,137,137
142,117,142
44,27,44
40,115,115
86,114,114
64,30,30
73,60,60
48,25,48
14,30,30
100,151,100
70,133,133
134,43,134
159,160,159
36,72,72
162,100,100
124,72,72
4,75,4
16,139,139
115,93,93
30,138,138
107,75,75
103,56,103
138,79,138
64,8,8
89,148,148
94,1,1
26,110,110
71,115,71
25,1,25
82,81,82
71,158,71
130,110,110
14,49,14
21,124,124
15,131,131
131,74,131
122,10,122
53,13,13
50,16,16
71,163,163
114,39,39
41,9,9
73,76,76
8,106,8
99,15,99
77,49,77
19,107,19
126,146,146
151,87,151
28,64,28
75,145,145
15,115,115
55,158,158
154,74,154
38,87,38
126,56,56
123,133,133
93,82,93
10,41,10
140,74,74
29,139,139
67,147,147
136,60,136
10,157,157
52,97,97
77,92,92
34,8,8
81,165,165
109,52,52
36,30,30
137,3,137
105,6,6
133,65,133
132,50,50
16,27,27
64,13,13
148,42,148
84,104,84
38,4,4
86,100,86
130,38,130
36,158,158
142,67,67
164,104,164
111,69,111
1,112,112
64,8,8
49,80,80
93,67,93
2,5,5
1,6,6
109,22,109
63,37,63
63,39,63
117,74,74
10,101,101
136,124,136
119,165,165
35,122,122
109,111,109
61,28,28
76,36,36
77,162,162
152,138,138
124,39,124
104,124,124
83,133,133
65,155,155
150,57,57
135,161,135
9,82,9
48,69,69
53,111,111
38,140,38
142,73,142
97,115,115
17,63,63
97,74,97
124,68,124
141,18,141
135,121,121
25,155,155
52,164,164
115,25,115
93,143,93
36,156,36
93,27,93
132,162,132
136,44,44
126,81,126
79,113,79
62,100,100
47,14,47
119,126,126
107,15,107
64,31,31
140,40,40
116,73,116
52,117,117
52,132,52
93,67,93
26,52,26
56,130,56
125,150,125
166,99,166
160,14,160
141,7,7
70,32,32
75,113,75
124,109,109
59,95,59
36,106,106
106,83,106
43,86,86
32,155,155
110,68,110
18,57,57
16,60,16
92,15,92
48,60,48
55,125,125
27,140,140
8,61,8
92,135,135
61,4,61
61,15,61
99,62,62
79,21,79
79,47,79
165,122,165
130,102,102
79,31,31
5,70,70
14,100,100
10,93,93
31,19,31
100,107,100
13,39,13
103,18,103
39,92,92
10,56,56
28,7,7
125,93,93
79,21,79
100,125,125
71,147,147
56,106,56
48,126,48
91,142,142
23,64,23
41,69,41
17,123,123
30,28,28
117,52,117
131,40,131
113,86,113
111,154,154
50,67,67
103,7,103
70,109,70
44,138,138
40,133,133
25,40,40
80,36,80
57,100,57
116,105,116
41,24,24
118,37,37
86,73,73
